number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
123,0.6714792543657954,2026-02-08 15:13:38.311461,2026-02-08 15:22:43.113128,0 days 00:09:04.801667,16,0.8,15,sector_text,256,128,1,0.4,0.003923480666672716,0.8,7,30,BiGRU,2,36,7.833909730596678e-07,,0.6714792543657954,,,,COMPLETE,0.6714792543657954,,,,
96,0.6714505280723172,2026-02-08 12:51:15.811875,2026-02-08 12:56:15.935236,0 days 00:05:00.123361,16,0.8,15,sector_text,128,64,1,0.4,0.006111872088954661,0.8,7,20,BiGRU,2,36,9.978295095751142e-07,,0.6714505280723172,,,,COMPLETE,0.6714505280723172,,,,
42,0.6714381373747261,2026-02-08 09:32:18.144860,2026-02-08 09:35:13.711593,0 days 00:02:55.566733,16,0.7000000000000001,15,sector_text,256,128,1,0.4,0.004341619035314297,0.4,7,20,GRU,1,36,7.216509166973279e-07,,0.6714381373747261,,,,COMPLETE,0.6714381373747261,,,,
81,0.6713143737941726,2026-02-08 11:52:07.958889,2026-02-08 11:55:16.582264,0 days 00:03:08.623375,16,0.8,15,sector_indicators,128,128,1,0.4,0.004579931932407968,0.8,10,20,BiGRU,1,36,7.490008197319258e-06,,0.6713143737941726,,,,COMPLETE,0.6713143737941726,,,,
94,0.6711923728394241,2026-02-08 12:41:21.654080,2026-02-08 12:46:24.715056,0 days 00:05:03.060976,16,0.8,15,sector_text,128,64,1,0.30000000000000004,0.0028013950516062,0.8,7,20,BiGRU,2,36,4.805483963450501e-07,,0.6711923728394241,,,,COMPLETE,0.6711923728394241,,,,
74,0.6710664204754625,2026-02-08 11:26:32.351284,2026-02-08 11:29:05.786408,0 days 00:02:33.435124,16,0.7000000000000001,10,sector_text_indicators,128,128,1,0.0,0.009800834589257202,0.8,5,30,GRU,2,36,3.3223238756053815e-06,,0.6710664204754625,,,,COMPLETE,0.6710664204754625,,,,
15,0.6709663140509838,2026-02-08 08:28:51.369535,2026-02-08 08:30:08.381901,0 days 00:01:17.012366,32,0.8,10,sector_text_indicators,128,32,1,0.0,0.004059505497700146,0.8,10,30,BiGRU,2,12,5.507952486939206e-07,,0.6709663140509838,,,,COMPLETE,0.6709663140509838,,,,
90,0.6709633849261458,2026-02-08 12:20:20.649027,2026-02-08 12:25:37.231019,0 days 00:05:16.581992,16,0.7000000000000001,15,sector_text,256,64,1,0.4,0.0029807762091640442,0.8,7,20,BiGRU,1,36,1.578367931262275e-07,,0.6709633849261458,,,,COMPLETE,0.6709633849261458,,,,
116,0.6707421021171491,2026-02-08 14:26:12.924395,2026-02-08 14:34:29.556943,0 days 00:08:16.632548,16,0.1,15,sector_indicators,256,128,1,0.2,0.004795281356888169,0.4,5,20,BiGRU,2,36,5.272798209795231e-07,,0.6707421021171491,,,,COMPLETE,0.6707421021171491,,,,
56,0.6707290055496835,2026-02-08 10:11:43.595732,2026-02-08 10:17:04.953219,0 days 00:05:21.357487,16,0.0,15,sector_indicators,256,128,1,0.30000000000000004,0.0027986174850068565,0.8,7,20,BiLSTM,1,30,5.473022306726538e-07,,0.6707290055496835,,,,COMPLETE,0.6707290055496835,,,,
52,0.6706136806447293,2026-02-08 10:01:14.328810,2026-02-08 10:03:51.869555,0 days 00:02:37.540745,16,0.1,15,sector_indicators,256,128,1,0.30000000000000004,0.004339238146382347,0.4,7,20,GRU,1,36,4.0315104495663635e-07,,0.6706136806447293,,,,COMPLETE,0.6706136806447293,,,,
61,0.6702039264662365,2026-02-08 10:30:37.363529,2026-02-08 10:33:33.531287,0 days 00:02:56.167758,16,0.8,15,sector_text,64,128,1,0.0,0.006935148077184985,0.8,7,30,GRU,2,30,1.5104321343208113e-06,,0.6702039264662365,,,,COMPLETE,0.6702039264662365,,,,
26,0.6701833863733052,2026-02-08 08:50:31.090331,2026-02-08 08:52:08.609239,0 days 00:01:37.518908,32,0.8,10,sector_text_indicators,128,32,1,0.0,0.0026137169933124313,0.8,10,30,BiGRU,1,30,1.0058534378327918e-07,,0.6701833863733052,,,,COMPLETE,0.6701833863733052,,,,
117,0.6700579631804359,2026-02-08 14:34:29.557789,2026-02-08 14:36:41.914613,0 days 00:02:12.356824,16,0.4,20,sector_text,128,128,1,0.4,0.0018128415774254548,0.8,7,30,GRU,1,36,7.11707136946571e-07,,0.6700579631804359,,,,COMPLETE,0.6700579631804359,,,,
14,0.6700102518943746,2026-02-08 08:27:25.908511,2026-02-08 08:28:51.369115,0 days 00:01:25.460604,64,0.8,15,sector_indicators,128,64,1,0.30000000000000004,0.005023597393276207,0.8,7,30,BiGRU,2,12,9.240156638866364e-07,,0.6700102518943746,,,,COMPLETE,0.6700102518943746,,,,
109,0.669946195996635,2026-02-08 13:48:16.345207,2026-02-08 13:58:01.644732,0 days 00:09:45.299525,16,0.8,15,sector,256,64,1,0.4,0.006252415850425325,0.8,5,30,BiLSTM,2,36,3.432689007599574e-07,,0.669946195996635,,,,COMPLETE,0.669946195996635,,,,
115,0.669943823862852,2026-02-08 14:21:10.681496,2026-02-08 14:26:12.923633,0 days 00:05:02.242137,16,0.0,15,sector_text,256,128,1,0.4,0.00704732125812988,0.4,7,30,GRU,2,36,9.232155784957534e-07,,0.669943823862852,,,,COMPLETE,0.669943823862852,,,,
1,0.6699137480530983,2026-02-08 08:04:20.208149,2026-02-08 08:07:11.465865,0 days 00:02:51.257716,64,0.6000000000000001,15,sector_indicators,256,64,1,0.30000000000000004,0.0003755521637505203,0.8,7,20,BiGRU,2,24,1.7223256654501006e-06,,0.6699137480530983,,,,COMPLETE,0.6699137480530983,,,,
76,0.6697058140788027,2026-02-08 11:35:39.485750,2026-02-08 11:38:04.722820,0 days 00:02:25.237070,32,0.7000000000000001,15,sector_indicators,128,32,1,0.4,0.004086074338967275,0.8,10,30,LSTM,2,36,4.759838132875517e-05,,0.6697058140788027,,,,COMPLETE,0.6697058140788027,,,,
6,0.6696867892078057,2026-02-08 08:09:58.520205,2026-02-08 08:10:31.500687,0 days 00:00:32.980482,64,0.7000000000000001,10,sector_text,128,64,1,0.4,0.0025350633182081544,0.4,7,50,BiGRU,2,6,2.033339081859548e-07,,0.6696867892078057,,,,COMPLETE,0.6696867892078057,,,,
27,0.6696829029842449,2026-02-08 08:52:08.609971,2026-02-08 08:53:45.813880,0 days 00:01:37.203909,32,0.7000000000000001,10,sector_text_indicators,128,32,1,0.30000000000000004,0.005710219553970578,0.8,10,30,BiGRU,2,18,2.641866389376219e-06,,0.6696829029842449,,,,COMPLETE,0.6696829029842449,,,,
124,0.6696666384759876,2026-02-08 15:22:43.113987,2026-02-08 15:31:10.870768,0 days 00:08:27.756781,16,0.8,15,sector_text,256,128,1,0.4,0.0014746861968713484,0.8,7,30,BiGRU,2,36,2.2875637529923032e-07,,0.6696666384759876,,,,COMPLETE,0.6696666384759876,,,,
110,0.6695989136411101,2026-02-08 13:58:01.645625,2026-02-08 14:01:03.438746,0 days 00:03:01.793121,16,0.8,15,sector,128,64,1,0.4,0.005514161739708029,0.8,7,30,GRU,2,30,7.21552292972415e-07,,0.6695989136411101,,,,COMPLETE,0.6695989136411101,,,,
44,0.6695782289187688,2026-02-08 09:38:06.008302,2026-02-08 09:40:59.611580,0 days 00:02:53.603278,16,0.7000000000000001,15,sector_text,256,128,1,0.4,0.006985433884992314,0.4,7,20,GRU,1,36,1.4072311350852304e-06,,0.6695782289187688,,,,COMPLETE,0.6695782289187688,,,,
2,0.6695661135659485,2026-02-08 08:07:11.466360,2026-02-08 08:07:48.243880,0 days 00:00:36.777520,64,0.7000000000000001,20,sector,64,128,1,0.4,0.007321459147953021,0.8,10,20,GRU,1,36,4.157787047095566e-07,,0.6695661135659485,,,,COMPLETE,0.6695661135659485,,,,
114,0.6695470111763836,2026-02-08 14:16:27.363099,2026-02-08 14:21:10.680623,0 days 00:04:43.317524,16,0.8,15,sector_text,256,64,1,0.4,0.0035295720396766248,0.4,7,30,GRU,2,36,1.2795750744637762e-06,,0.6695470111763836,,,,COMPLETE,0.6695470111763836,,,,
121,0.6695309313480414,2026-02-08 14:55:43.125381,2026-02-08 15:04:09.989570,0 days 00:08:26.864189,16,0.30000000000000004,15,sector_text,256,128,1,0.4,0.0025645150584107227,0.8,7,30,BiGRU,2,36,3.709514485282112e-07,,0.6695309313480414,,,,COMPLETE,0.6695309313480414,,,,
22,0.669369564604115,2026-02-08 08:39:46.653972,2026-02-08 08:42:20.430389,0 days 00:02:33.776417,32,0.7000000000000001,10,sector_text_indicators,128,32,1,0.1,0.006126124833415081,0.8,10,30,BiGRU,2,30,2.561303181559374e-06,,0.669369564604115,,,,COMPLETE,0.669369564604115,,,,
