number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
44,0.07582231310637763,2026-03-04 18:36:55.804631,2026-03-04 18:55:12.733608,0 days 00:18:16.928977,32,2,0.1,0.008400359152896976,15,sector_finbert,64,64,0.4608114772561132,0.0,0.006470940795144852,0.002540569325129252,0.8,7,20,GRU,6,1,corn,20,3.123379847604418,0.2715548558232335,21,0.7231245212231665,0.37234957055417384,21,2.8418627928135397e-07,0.5208333333333334,0.11657312694533689,0.07582231310637763,0.1880387931034483,COMPLETE,0.11657312694533689,0.1880387931034483,0.5208333333333334,0.07582231310637763
73,0.0755165534592962,2026-03-05 08:03:54.651297,2026-03-05 09:14:06.456120,0 days 01:10:11.804823,32,6,0.2,0.00483578675380425,10,sector_emotion,128,32,1.3318475890579333,0.4,0.04908003226997697,0.0011942178524218356,0.8,10,30,BiGRU,6,1,coral,10,2.6876595095920313,0.4582610330685717,21,0.8846979667050041,0.25950583382367054,31,0.0002632026390596261,0.521551724137931,0.11326302382561597,0.0755165534592962,0.16145833333333334,COMPLETE,0.11326302382561597,0.16145833333333334,0.521551724137931,0.0755165534592962
82,0.07535984011104588,2026-03-05 11:22:55.667822,2026-03-05 12:35:24.713419,0 days 01:12:29.045597,32,6,0.2,0.007174055348566646,10,sector_emotion,128,32,0.6306016629439668,0.4,0.046560316449900274,0.00018290391115635574,0.4,5,50,BiGRU,6,1,coral,5,1.7908667908707177,0.4732149683253756,21,0.8970836262207826,0.16728518478313165,31,6.867311418256221e-05,0.5204741379310345,0.10709782061957801,0.07535984011104588,0.16648706896551724,COMPLETE,0.10709782061957801,0.16648706896551724,0.5204741379310345,0.07535984011104588
37,0.07465674855646688,2026-03-04 15:44:41.193295,2026-03-04 15:59:52.917176,0 days 00:15:11.723881,16,2,0.2,0.007573536086130172,10,sector_all_nlp,64,128,0.7671260516677766,0.2,0.00445346258051473,0.003678755101747023,0.8,7,50,BiGRU,6,1,corn,20,2.8722508079206057,0.8430162337778505,15,0.79810406976354,0.28032910950764545,21,6.645930558647872e-07,0.5213721264367817,0.1295355596051491,0.07465674855646688,0.19216954022988506,COMPLETE,0.1295355596051491,0.19216954022988506,0.5213721264367817,0.07465674855646688
77,0.07460228994333837,2026-03-05 10:07:59.839919,2026-03-05 10:29:39.419098,0 days 00:21:39.579179,32,2,0.8,0.004823972190146811,15,sector_unified_emotion,128,32,0.9450096626930131,0.1,0.022294401144425248,0.0037636490801466077,0.8,10,30,BiLSTM,6,1,coral,20,3.3571549848000135,0.7163929227621172,15,0.7988471332158712,0.24677871683640068,31,6.902094630971893e-05,0.5193965517241379,0.1041194137705553,0.07460228994333837,0.16469109195402298,COMPLETE,0.1041194137705553,0.16469109195402298,0.5193965517241379,0.07460228994333837
93,0.07446912654904188,2026-03-05 16:21:18.622291,2026-03-05 16:47:04.217222,0 days 00:25:45.594931,32,4,0.1,0.009207528801172496,15,sector_emotion,128,128,0.6003140367397304,0.0,0.0496265191050063,0.0020559323233804074,0.8,5,20,GRU,6,1,corn,10,3.3098912121752986,0.678839201503477,15,0.7802445311240253,0.13358170474701495,21,0.00012757953883875777,0.5184985632183908,0.1226093514203871,0.07446912654904188,0.18660201149425287,COMPLETE,0.1226093514203871,0.18660201149425287,0.5184985632183908,0.07446912654904188
25,0.07411329497688594,2026-03-04 10:20:41.801473,2026-03-04 10:36:24.491575,0 days 00:15:42.690102,32,2,0.0,0.0029046812156152913,20,sector_emotion,64,32,0.7177144559205756,0.1,0.015157709825309267,0.005296910454009399,0.8,7,30,BiGRU,6,1,coral,20,2.6048794558860817,0.45372788431156286,15,0.8051340013701598,0.20939940973575,21,6.205896398087596e-06,0.5237068965517241,0.1163690154156024,0.07411329497688594,0.17367097701149425,COMPLETE,0.1163690154156024,0.17367097701149425,0.5237068965517241,0.07411329497688594
18,0.07343588667802936,2026-03-04 08:01:35.206844,2026-03-04 08:14:40.947744,0 days 00:13:05.740900,32,2,0.2,0.003954353481323015,10,sector_emotion,128,64,0.7840339430125361,0.0,0.006841396453504669,0.0017149874280118836,0.8,7,20,BiLSTM,6,1,corn,20,2.9066570607717535,0.3084120726079164,15,0.6432578592272721,0.2904076941554512,21,1.1010539058209241e-06,0.5172413793103449,0.12403733689543082,0.07343588667802936,0.1973778735632184,COMPLETE,0.12403733689543082,0.1973778735632184,0.5172413793103449,0.07343588667802936
86,0.07326578023560647,2026-03-05 13:44:50.125911,2026-03-05 14:00:16.926839,0 days 00:15:26.800928,32,2,0.5,0.009503761136224089,15,sector_emotion,128,32,0.27425223147084865,0.2,0.026504137393894806,0.0046599953568571125,0.4,7,20,BiLSTM,6,1,corn,15,2.760525114802265,0.26339394170358926,15,0.8916472944267871,0.20021339764354668,21,0.00014601486493362754,0.5206537356321839,0.12137669635989112,0.07326578023560647,0.1939655172413793,COMPLETE,0.12137669635989112,0.1939655172413793,0.5206537356321839,0.07326578023560647
23,0.07314212329032647,2026-03-04 09:30:57.070914,2026-03-04 09:48:47.036925,0 days 00:17:49.966011,32,2,0.0,0.0066805956362623745,15,sector_emotion,64,32,0.9298280931924032,0.2,0.05167799758071272,0.0025232869646273233,0.8,7,50,BiGRU,6,1,corn,20,3.41623353012394,0.6508959797102278,21,0.7250703786082285,0.37526358217256744,21,4.272214144932791e-06,0.5204741379310345,0.11849223530058431,0.07314212329032647,0.18767959770114942,COMPLETE,0.11849223530058431,0.18767959770114942,0.5204741379310345,0.07314212329032647
