company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
ORCL,Technology,BiGRU,regression,1,0.00019333070800157866,0.010951595117250277,-0.05764224365766091,0.0,0.6363636363636364,0.4666666666666667,1.0,0.4666666666666667,273,183,45,45,17
PCLN,Services,BiGRU,regression,1,0.0005647990723989327,0.019482665491398616,-0.6187263224685471,0.0,0.0,0.0,0.0,0.4264705882352941,408,272,68,68,18
PEP,Consumer Goods,BiGRU,regression,1,0.00013065478338273733,0.008206066488953693,-0.2600906946621204,0.262431940540739,0.48484848484848486,0.7272727272727273,0.36363636363636365,0.6136363636363636,222,143,35,44,20
PFE,Healthcare,BiGRU,regression,1,0.0002160416155825676,0.011223211135749511,-0.004511896457455089,-0.09881101401041338,0.21052631578947367,0.36363636363636365,0.14814814814814814,0.4827586206896552,348,232,58,58,16
PG,Consumer Goods,BiGRU,regression,1,8.646696788526097e-05,0.007290221287691541,-0.08708015473816366,0.089589106626911,0.7164179104477612,0.6486486486486487,0.8,0.6041666666666666,288,192,48,48,16
SLB,Basic Matierials,BiGRU,regression,1,0.0003407265188699979,0.015293902422077288,-0.03834896102836183,0.0,0.5185185185185185,0.35,1.0,0.35,204,132,32,40,19
SO,Utilities,BiGRU,regression,1,0.0002466377286660478,0.011193843578075504,-0.03652473440751436,-0.08818445268783232,0.6153846153846154,0.5161290322580645,0.7619047619047619,0.48717948717948717,159,96,24,39,18
T,Technology,BiGRU,regression,1,7.921948420117055e-05,0.006995135743810475,0.01207002692903092,0.11785113019775792,0.6727272727272727,0.5138888888888888,0.9736842105263158,0.5263157894736842,460,308,76,76,18
UNH,Healthcare,BiGRU,regression,1,0.00035730221499471245,0.015221709343447113,0.007132826135010428,0.15075567228888181,0.21428571428571427,0.75,0.125,0.5416666666666666,241,155,38,48,18
UPS,Services,BiGRU,regression,1,9.838513152364868e-05,0.007146431618297319,-0.017867084419263213,0.0,0.7142857142857143,0.5555555555555556,1.0,0.5555555555555556,183,111,27,45,19
UTX,Industrial Goods,BiGRU,regression,1,0.00020070509777060864,0.011334580006938167,-0.10989347896341983,0.0,0.5357142857142857,0.36585365853658536,1.0,0.36585365853658536,205,132,32,41,17
V,Financial,BiGRU,regression,1,0.0002520225356614354,0.01243436919025777,-0.1476982509590441,0.0,0.0,0.0,0.0,0.45614035087719296,345,231,57,57,16
VZ,Technology,BiGRU,regression,1,9.60068835849606e-05,0.00795385393238112,-0.05125698638956244,0.0,0.6511627906976745,0.4827586206896552,1.0,0.4827586206896552,349,233,58,58,16
WFC,Financial,BiGRU,regression,1,0.0001593717893806478,0.00991037925119191,0.0086788430780117,0.20132467990418684,0.6071428571428571,0.6296296296296297,0.5862068965517241,0.6,332,222,55,55,16
WMT,Services,BiGRU,regression,1,0.00011520819144138482,0.008812295635811433,-0.010605132804731188,0.0,0.6744186046511628,0.5087719298245614,1.0,0.5087719298245614,346,232,57,57,16
XOM,Basic Matierials,BiGRU,regression,1,0.0002334778070007388,0.012149982476616687,0.000556982180604848,0.1507319667030306,0.3076923076923077,0.6666666666666666,0.2,0.5645161290322581,376,252,62,62,16
